programa,tipo,volumen
MAESTRIA EN ECOLOGIA Y BIODIVERSIDAD,ADMITIDOS,49
ESPECIALIZACION EN DESARROLLO DE SOFTWARE,GRADUADOS,43
ESPECIALIZACION EN GESTION ESTRATEGICA DEL TALENTO HUMANO,ADMITIDOS,42
LICENCIATURA EN EDUCACION CAMPESINA Y RURAL,GRADUADOS,42
MAESTRIA EN ADMINISTRACION,ADMITIDOS,41
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,GRADUADOS,40
ESPECIALIZACION EN GERENCIA DE MERCADEO,GRADUADOS,40
ESPECIALIZACION EN LOGISTICA Y TRANSPORTE INTERNACIONAL,ADMITIDOS,40
MAESTRIA EN ANTROPOLOGIA,ADMITIDOS,39
ESPECIALIZACION EN DERECHO CONSTITUCIONAL,ADMITIDOS,37
LICENCIATURA EN ARTES,ADMITIDOS,36
DOCTORADO EN CIENCIAS DE LA EDUCACION,GRADUADOS,34
MAESTRIA EN ENSEÑANZA DE LAS MATEMATICAS,GRADUADOS,33
ESPECIALIZACION EN GERENCIA DE MERCADEO,ADMITIDOS,32
MAESTRIA EN PSICOLOGIA CLINICA JURIDICA Y FORENSE,GRADUADOS,31
GESTION CULTURAL Y DE INDUSTRIAS CREATIVAS,GRADUADOS,31
MAESTRIA EN ARGUMENTACION JURIDICA,GRADUADOS,31
LICENCIATURA EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,ADMITIDOS,31
MAESTRIA EN DESARROLLO TERRITORIAL SOSTENIBLE,GRADUADOS,31
DOCTORADO EN EDUCACION INTERCULTURALIDAD Y TERRITORIO,ADMITIDOS,30
MAESTRIA EN SISTEMAS DE GESTION,GRADUADOS,27
MAESTRIA EN ENSEÑANZA DE LAS CIENCIAS NATURALES,ADMITIDOS,26
ESPECIALIZACION EN DERECHO CONSTITUCIONAL,GRADUADOS,25
TECNOLOGIA EN REGENCIA DE FARMACIA,GRADUADOS,25
MAESTRIA EN PESQUERIAS TROPICALES,ADMITIDOS,23
LICENCIATURA EN INFORMATICA,GRADUADOS,23
MAESTRIA EN EPIDEMIOLOGIA,GRADUADOS,22
ESPECIALIZACION EN LOGISTICA Y TRANSPORTE INTERNACIONAL,GRADUADOS,21
MAESTRIA EN ENSEÑANZA DE LAS CIENCIAS NATURALES,GRADUADOS,20
MAESTRIA EN PSICOLOGIA DE LAS ORGANIZACIONES Y DEL TRABAJO,ADMITIDOS,20
ESPECIALIZACION EN COOPERACION INTERNACIONAL Y GESTION ESTRATEGICA,ADMITIDOS,20
HISTORIA Y PATRIMONIO,GRADUADOS,19
MAESTRIA EN ENSEÑANZA DEL LENGUAJE Y LA LENGUA CASTELLANA,GRADUADOS,19
MAESTRIA EN ECOLOGIA Y BIODIVERSIDAD,GRADUADOS,18
TECNOLOGIA EN ARTES MUSICALES,ADMITIDOS,18
ESPECIALIZACION EN FORMULACION Y GESTION INTEGRAL DE PROYECTOS,ADMITIDOS,18
MAESTRIA EN COOPERACION INTERNACIONAL,ADMITIDOS,18
ESPECIALIZACION EN COOPERACION INTERNACIONAL Y GESTION ESTRATEGICA,GRADUADOS,18
DOCTORADO EN CIENCIAS DEL MAR,ADMITIDOS,18
MAESTRIA EN LOGISTICA Y CADENA DE SUMINISTRO,ADMITIDOS,17
TECNOLOGIA EN SALUD OCUPACIONAL,ADMITIDOS,16
ESPECIALIZACION EN GESTION Y LEGISLACION AMBIENTAL,ADMITIDOS,16
MAESTRIA EN SISTEMAS DE GESTION,ADMITIDOS,15
MAESTRIA EN FACULTAD DE INGENIERIA,GRADUADOS,15
MAESTRIA EN PSICOLOGIA DE LAS ORGANIZACIONES Y DEL TRABAJO,GRADUADOS,14
MAESTRIA EN SALUD FAMILIAR Y COMUNITARIA,GRADUADOS,13
MAESTRIA EN CIENCIAS AGRARIAS,GRADUADOS,13
ESPECIALIZACION EN DIRECCION Y LIDERAZGO EN ORGANIZACIONES EDUCATIVAS,ADMITIDOS,12
MAESTRIA EN COOPERACION INTERNACIONAL,GRADUADOS,12
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES,GRADUADOS,11
MAESTRIA EN ADMINISTRACION,GRADUADOS,11
MAESTRIA EN LOGISTICA Y CADENA DE SUMINISTRO,GRADUADOS,11
MAESTRIA EN EDUCACION,GRADUADOS,11
DOCTORADO EN EDUCACION INTERCULTURALIDAD Y TERRITORIO,GRADUADOS,10
MAESTRIA EN CIENCIAS FISICAS,GRADUADOS,9
LICENCIATURA EN TECNOLOGIA,GRADUADOS,9
LICENCIATURA EN ETNOEDUCACION,GRADUADOS,9
ESPECIALIZACION EN DIRECCION Y LIDERAZGO EN ORGANIZACIONES EDUCATIVAS,GRADUADOS,9
MAESTRIA EN PESQUERIAS TROPICALES,GRADUADOS,9
TECNOLOGIA EN ADMINISTRACION PUBLICA,GRADUADOS,8
MAESTRIA EN PRODUCCION AUDIOVISUAL CREATIVA,GRADUADOS,8
MAESTRIA EN ANTROPOLOGIA,GRADUADOS,7
MAESTRIA EN ACUICULTURA,GRADUADOS,6
MAESTRIA EN ACUACULTURA Y ECOLOGIA ACUATICA TROPICAL,GRADUADOS,6
LICENCIATURA EN FILOSOFIA Y ESTUDIOS POLITICOS,GRADUADOS,6
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN IDIOMAS EXTRANJEROS,GRADUADOS,5
MAESTRIA EN CIENCIAS FISICAS,ADMITIDOS,4
MAESTRIA EN MANEJO INTEGRADO COSTERO,GRADUADOS,4
DOCTORADO EN MEDICINA TROPICAL,ADMITIDOS,4
TECNOLOGIA EN ADMINISTRACION HOTELERA Y TURISTICA,GRADUADOS,3
MAESTRIA CIENCIAS AMBIENTALES SUE CARIBE,GRADUADOS,3
ESPECIALIZACION EN GERENCIA DE LA CALIDAD,GRADUADOS,2
DOCTORADO EN CIENCIAS FISICAS,ADMITIDOS,2
MAESTRIA EN DESARROLLO EMPRESARIAL,GRADUADOS,2
LICENCIATURA EN MATEMATICAS,GRADUADOS,2
ESPECIALIZACION EN PEDAGOGIA INFANTIL,GRADUADOS,1
DOCTORADO EN CIENCIAS FISICAS,GRADUADOS,1
DOCTORADO EN CIENCIAS DEL MAR,GRADUADOS,1
ESPECIALIZACION EN GESTION AMBIENTAL,GRADUADOS,1
ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION PUBLICA Y PRIVADA,GRADUADOS,1
LICENCIATURA EN LENGUAS EXTRANJERAS CON ENFASIS EN INGLES,GRADUADOS,1
